,fsq_id,station_num,distance,name,location_address,categorized,closed_bucket
138,4c191a0c4ff90f475e6b0f49,14,368,Villa Italia,39-41 University St,Restaurant,VeryLikelyOpen
139,4b7d734ff964a52022bf2fe3,14,762,Botanic Gardens,College Park,Bar,VeryLikelyOpen
140,578ba22a498e14e13ba14b1b,15,623,Titanic Belfast,1 Olympic Way,Museum,LikelyOpen
141,4cb46b5adb32f04d5671dd4d,15,628,Titanic Belfast,2 Queen's Quay,Museum,VeryLikelyOpen
142,51653bb6e4b04967c227054a,15,342,The Pump House Café,Missing data,Coffee Shop,LikelyOpen
143,51320349e4b06242f03795b5,15,929,Subway,"The Arc, Queens Rd",Restaurant,VeryLikelyOpen
144,4f6090eee4b07ca95a464133,15,938,The Dock Cafe,2K Queens Rd,Coffee Shop,VeryLikelyOpen
145,4c7d13dd9efda143c46c87e2,15,206,HMS Caroline,"Alexandra Dock, Queens Rd",Museum,VeryLikelyOpen
146,51ac9aee498e2bc299eb4e36,15,334,Krem,Queens Island,Coffee Shop,VeryLikelyOpen
147,504b867fe4b04977de57e845,15,541,Titanic Slipway,Queens Rd,Monument,VeryLikelyOpen
148,51a88d59498e93cab076354d,15,807,SS Nomadic,Queens Rd,Museum,VeryLikelyOpen
149,4b62ae5df964a520d94e2ae3,15,315,Titanic's Dock and Pump-House,"Northern Ireland Science Park, Queens Rd",Museum,VeryLikelyOpen
150,54917d6b498e225b49364d84,16,278,YO! Belfast,1 Victoria Square,Restaurant,VeryLikelyOpen
151,50ca5592e4b0cc5bad7c6449,16,451,The Sunflower,65 Union St,Bar,Unsure
152,5ae825e4ad910e002c72a002,16,266,Tim Hortons,65 Fountain St,Coffee Shop,VeryLikelyOpen
153,4bd352d741b9ef3b0fe3ffe5,16,113,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
154,4b64a08bf964a52082c32ae3,16,152,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
155,52988e8511d22448bd236206,16,340,The Dirty Onion,3 Hill St,Bar,Unsure
156,4bb3c394715eef3b6bce86bb,16,304,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
157,5a1fedbcbcbf7a12b589f1f9,16,306,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
158,520080a3498eb97026f147b8,16,415,Established Coffee,54 Hill St,Coffee Shop,Unsure
159,4b071106f964a52093f622e3,16,287,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
160,4d89ef067139b1f72342bfd4,17,326,W5,2 Queen's Quay,Museum,VeryLikelyOpen
161,514a517de4b0e876ff898ce4,17,981,Ox,1 Oxford St,Restaurant,VeryLikelyOpen
162,4b588286f964a5204b5b28e3,17,378,Odyssey Arena,2 Queens Quay,Stadium,VeryLikelyOpen
163,4f6090eee4b07ca95a464133,17,60,The Dock Cafe,2K Queens Rd,Coffee Shop,VeryLikelyOpen
164,578ba22a498e14e13ba14b1b,17,278,Titanic Belfast,1 Olympic Way,Museum,LikelyOpen
165,4be55ba4910020a19dd7d214,17,916,Custom House Square,Custom House Square,Monument,VeryLikelyOpen
166,504b867fe4b04977de57e845,17,373,Titanic Slipway,Queens Rd,Monument,VeryLikelyOpen
167,4cb46b5adb32f04d5671dd4d,17,276,Titanic Belfast,2 Queen's Quay,Museum,VeryLikelyOpen
168,4ba161dcf964a52014b237e3,17,926,McHugh's Bar,29-31 Queen's Square,Restaurant,VeryLikelyOpen
169,51a88d59498e93cab076354d,17,79,SS Nomadic,Queens Rd,Museum,VeryLikelyOpen
170,4ba0fffbf964a520a98d37e3,18,884,Hatfield House,130 Ormeau Rd,Bar,VeryLikelyOpen
171,4c8d13c4ed3ab60cd3496d21,18,352,Macau,271 Ormeau Rd,Restaurant,VeryLikelyOpen
172,4bc4abe34cdfc9b6fef69821,18,955,Kingspan Stadium,85 Ravenhill Park,Stadium,VeryLikelyOpen
173,56fd1e27498e65b9eabf8efa,18,58,General Merchants,361 Ormeau Rd,Restaurant,VeryLikelyOpen
174,4c06ca359e1ab7134be25243,18,259,Errigle Inn,312-320 Ormeau Rd,Restaurant,VeryLikelyOpen
175,591f03cf0d8a0f04db6c2cad,18,68,387 Ormeau Road,387 Ormeau Rd,Restaurant,VeryLikelyOpen
176,5817638a38fa62c38f44588c,18,191,District,300 Ormeau Rd,Coffee Shop,VeryLikelyOpen
177,5aa13b4031fd141238c92639,18,146,Bia Rebel,409 Ormeau Rd,Restaurant,VeryLikelyOpen
178,4d14bf69cc216ea834555ed3,18,589,Cherryvale Playing Fields,Missing data,Park,VeryLikelyOpen
179,4b7d734ff964a52022bf2fe3,18,916,Botanic Gardens,College Park,Park,VeryLikelyOpen
180,4bdabe62c79cc928a48b7fe9,19,104,PizzaExpress,25-27 Bedford St,Restaurant,VeryLikelyOpen
181,4c489364c047be9aef423479,19,241,Zen,55-59 Adelaide St,Restaurant,LikelyOpen
182,4b6031acf964a52060d929e3,19,199,Harlem Cafe,34 Bedford St,Coffee Shop,LikelyOpen
183,4c4647bd342c1b8d3040b689,19,279,The Crown Liquor Saloon,46 Great Victoria St,Restaurant,Unsure
184,4b459b93f964a5207d0e26e3,19,180,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
185,4b65d319f964a5203a022be3,19,193,The Limelight,17 Ormeau Ave,Bar,LikelyOpen
186,5b9697acdd70c50039a9d2d2,19,120,Pug Uglys,Missing data,Restaurant,VeryLikelyOpen
187,4bacb913f964a520e8063be3,19,46,Nando's,24 Ormeau Ave,Restaurant,VeryLikelyOpen
188,4b50a28ff964a520762a27e3,19,280,Fibber Magees,38-42 Great Victoria St,Bar,VeryLikelyOpen
189,4fc21ef5e4b099ce175faf24,19,501,Home Restaurant,22 Wellington Pl,Restaurant,Unsure
190,4c4647bd342c1b8d3040b689,20,958,The Crown Liquor Saloon,46 Great Victoria St,Restaurant,Unsure
191,4b50a337f964a5209a2a27e3,20,926,Robinson's Saloon,38-40 Great Victoria St,Restaurant,VeryLikelyOpen
192,527aaa5111d295217f40d588,20,956,Howard Street,56 Howard St,Restaurant,VeryLikelyOpen
193,57ac99ec498e2258ef0521d3,20,928,Boojum,14-16 Great Victoria St,Restaurant,Unsure
194,56329d33498efb2f43c4f39f,20,1018,India Gate,73-75 Great Victoria St,Restaurant,LikelyOpen
195,4d876a78651041bd3b239b30,20,403,Subway,121 Falls Rd,Restaurant,VeryLikelyOpen
196,4c50130638b0be9a515ee3fc,20,755,Long's,39 Athol St,Restaurant,LikelyOpen
197,4b50a28ff964a520762a27e3,20,976,Fibber Magees,38-42 Great Victoria St,Bar,VeryLikelyOpen
