,station_id,name,latitude,longitude,timestamp,free_bikes,empty_slots,uid,number,slots,bike_uids
0,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580']
1,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']"
2,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,['']
3,0a705a961d040d272e9e72b27fd1239d,Botanic Avenue,54.589329,-5.933508,2024-10-19T19:10:00.949105Z,8,5,20753840,3909,16.0,"['830218', '830012', '830523', '830698', '830624', '830623', '830613', '830545']"
4,0bcde9e962503960bbf3c1940e63be23,Europa Bus Station / Blackstaff Square,54.594821,-5.933116,2024-10-19T19:10:00.949545Z,4,7,20755396,3910,12.0,"['830071', '830705', '830625', '830589']"
5,1d32f54e87d456e46654efe7f4d3bb79,Gasworks (Cromac Street),54.592172,-5.925547,2024-10-19T19:10:00.949649Z,2,10,20755616,3907,12.0,"['830306', '830128']"
6,21736d82110ac1d36d2d08877b89d666,Titanic Train Halt/ Sydenham Road,54.60342,-5.906825,2024-10-19T19:10:00.951570Z,7,15,80624568,3949,20.0,"['830411', '830383', '830078', '830013', '830005', '830695', '830575']"
7,2dde63ecc4e7629be51b8869769355f8,Castlereagh Road,54.586112,-5.891912,2024-10-19T19:10:00.951728Z,5,6,254962866,3901,12.0,"['830407', '830403', '830191', '830029', '830687']"
8,37bdf55233e68976b8d6e48b05b4870f,Ormeau Road / Rosetta Roundabout,54.572534,-5.915076,2024-10-19T19:10:00.949907Z,14,3,20756242,3930,16.0,"['83471', '830254', '830171', '830159', '830099', '830069', '830028', '830008', '830007', '830706', '830699', '830661', '830655', '830628']"
9,38c115f757ddfb8932019674ceaae244,Millfield / Divis Street,54.599697,-5.936308,2024-10-19T19:10:00.949822Z,8,8,20756044,3920,18.0,"['830320', '830266', '830253', '830083', '830074', '830048', '830461', '830626']"
10,3d074080544e9de7221eefa71e2a9c19,Carrick Hill / St Patricks Church,54.604986,-5.932853,2024-10-19T19:10:00.949316Z,3,6,20754490,3915,12.0,"['830255', '830149', '830075']"
11,3d0848a1bd18d516fb554c2e18cf7da6,Glencairn,54.609674,-5.9727,2024-10-19T19:10:00.951803Z,0,15,378088757,3987,16.0,['']
12,4674212bef61b983ff79f80f324aec6b,Royal Victoria Hospital,54.589851,-5.958463,2024-10-19T19:10:00.950194Z,12,9,20756409,3936,20.0,"['830384', '830342', '830020', '830002', '830692', '830685', '830682', '830668', '830662', '830581', '830542', '830538']"
13,4a98fdf8656e54050b5e683400e8e7ec,Belfast City Hospital,54.586848,-5.939333,2024-10-19T19:10:00.951544Z,1,14,26211679,3935,18.0,['830570']
14,4b098d3bd92dd05711e2db6268205227,Titanic Walkway,54.611906,-5.902814,2024-10-19T19:10:00.951371Z,19,2,20756646,3917,20.0,"['830443', '830427', '830426', '830370', '830308', '830279', '830256', '830238', '830168', '830065', '830064', '830512', '830508', '830488', '830468', '830697', '830678', '830637', '830615']"
15,4f1193645719ac9f73ec068cb9c520ca,Castle Place / Royal avenue,54.599358,-5.929838,2024-10-19T19:10:00.949346Z,2,15,20754573,3912,22.0,"['830606', '830564']"
16,514648b87e234d34917abc7b0cb9755b,Titanic Belfast Met,54.605713,-5.911299,2024-10-19T19:10:00.951328Z,9,10,20756620,3932,18.0,"['830444', '830399', '830369', '830344', '830336', '830160', '830110', '830089', '830527']"
17,59a10c87436a4f66ea29cce49c054f1c,Ormeau Road / Somerset Street,54.578142,-5.918787,2024-10-19T19:10:00.951490Z,5,7,20844102,3913,12.0,"['83474', '830276', '830052', '830648', '830604']"
18,5b0015df8ea877e3a3695d13499bc1e2,Bankmore,54.59268,-5.931528,2024-10-19T19:10:00.949075Z,0,15,20753582,3918,16.0,['']
19,6325f714622a5a718223dff878ab315b,Grosvenor Road / Servia Street,54.595315,-5.949091,2024-10-19T19:10:00.949753Z,0,12,20755939,3940,12.0,['']
20,63749ff4c0e10b00b94ec6671f02cbf5,St Georges Market / Cromac Square,54.595255,-5.92368,2024-10-19T19:10:00.951287Z,0,10,20756545,3906,12.0,['']
